latitud,longitud,property_surface_total,property_surface_covered
-34.650456,-58.41495,37.0,35.0
-34.5855843,-58.4183504,50.0,50.0
-34.6185195,-58.4021334,38.0,38.0
-34.5835444,-58.4039932,204.0,194.0
-34.5486214,-58.4810556,76.0,70.0
-34.5506361175,-58.4575384855,52.0,46.0
-34.5773954,-58.453376,264.0,190.0
-34.6492412563,-58.4727521716,77.0,64.0
-34.5666262838,-58.433767944,83.0,75.0
-34.59882967,-58.44272495,52.0,47.0
-34.6126651,-58.3587976,196.0,196.0
-34.5858096,-58.405548,247.0,247.0
-34.5651955,-58.4550104,34.0,34.0
-34.6322219816,-58.4165298776,74.0,40.0
-34.5964756,-58.4215735,35.0,35.0
-34.6171747,-58.375266,33.0,33.0
-34.6473231,-58.5078931,85.0,60.0
-34.5552931549,-58.4585266762,56.0,50.0
-34.55114,-58.45263,52.0,47.0
-34.5891068001,-58.4297932662,30.0,29.0
-34.5986669,-58.4267436,74.0,69.0
-34.62415,-58.404265,89.0,89.0
-34.630173,-58.428225,43.0,36.0
-34.5922173,-58.3996053,82.0,72.0
-34.6171597,-58.4010335,39.0,39.0
-34.597733,-58.4265242,69.0,61.0
-34.5941763,-58.3810137,71.0,71.0
-34.639509,-58.446751,110.0,110.0
-34.6462424,-58.4192968,198.0,128.0
-34.5848896,-58.4067998,73.0,68.0
-34.6133247,-58.3884462,68.0,65.0
-34.5946935,-58.4210627,44.0,37.0
-34.616319,-58.404514,58.0,58.0
-34.5771021,-58.4225502,68.0,57.0
-34.5778674038,-58.4242156116,43.0,37.0
-34.5540822971,-58.4711319208,33.0,29.0
-34.5828478,-58.4512913,99.0,90.0
-34.5743812,-58.4728013,66.0,50.0
-34.5787346,-58.4740778,95.0,53.0
-34.5568717,-58.4759153,120.0,120.0
-34.6258285,-58.4511127,65.0,56.0
-34.5959289,-58.4975922,37.0,27.0
-34.5811645,-58.4239379,38.0,34.0
-34.627559,-58.445265,125.0,115.0
-34.5734158,-58.4479448,53.0,40.0
-34.5908536,-58.4158546,36.0,33.0
-34.5420869,-58.4756362,144.0,144.0
-34.5876147,-58.4057872,52.0,47.0
-34.6021463843,-58.4944381751,98.0,90.0
-34.6285923,-58.3721943,37.0,33.0
-34.6234808,-58.473559,55.0,42.0
-34.6080208,-58.51073,85.0,55.0
-34.5545877,-58.4444678,79.0,79.0
-34.6194061,-58.4519993,63.0,63.0
-34.6001257,-58.441029,62.0,60.0
-34.597951167,-58.4963071346,197.0,116.0
-34.5944502625,-58.4132815875,65.0,61.0
-34.5412501,-58.4729664,60.0,50.0
-34.6364053,-58.3748374,53.0,48.0
-34.637388,-58.4473428,65.0,57.0
-34.6042021,-58.426116,37.0,32.0
-34.6064996,-58.4356338,42.0,39.0
-34.5856634,-58.415008,44.0,39.0
-34.629155,-58.5053502,60.0,55.0
-34.5570657894,-58.4649138259,54.0,49.0
-34.544284,-58.460872,37.0,35.0
-34.6431736,-58.3739065,50.0,45.0
-34.6243708,-58.4070388,87.0,81.0
-34.6044237,-58.4021524,82.0,70.0
-34.6266089,-58.4250491,75.0,55.0
-34.6210065,-58.4608596,70.0,66.0
-34.6305379,-58.4192214,47.0,47.0
-34.6294703,-58.43854,86.0,56.0
-34.5579637,-58.478509,27.0,21.0
-34.5669,-58.4893,52.0,49.0
-34.579453,-58.4086037,45.0,38.0
-34.573855,-58.42234154,49.0,45.0
-34.615468,-58.3836786,75.0,65.0
-34.5942539,-58.3989133,36.0,36.0
-34.6272955,-58.4448896,91.0,86.0
-34.573855,-58.42234154,71.0,63.0
-34.5879952,-58.4790096,80.0,44.0
-34.6040062,-58.4602356,46.0,36.0
-34.5838344,-58.4757217,32.0,32.0
-34.6024163,-58.430139,78.0,50.0
-34.5786333,-58.4925694,106.0,79.0
-34.6203014,-58.3893532,81.0,81.0
-34.610852,-58.438303,50.0,47.0
-34.5482331,-58.4735836,230.0,230.0
-34.5891599,-58.4495615,80.0,77.0
-34.5700433,-58.4795707,71.0,66.0
-34.617233,-58.43717,97.0,90.0
-34.6044194,-58.4799025,98.0,58.0
-34.5698921,-58.4576469,61.0,58.0
-34.5865516,-58.4971283,44.0,41.0
-34.631459996,-58.4595930576,47.0,40.0
-34.613034,-58.4193421,35.0,30.0
-34.6246155,-58.3839527,47.0,47.0
-34.6105801,-58.3603773,160.0,160.0
-34.5877014,-58.4222183,113.0,100.0
-34.5999668,-58.4373562,35.0,29.0
-34.61682542,-58.44360306,102.0,87.0
-34.634699,-58.362702,644.0,644.0
-34.6119966,-58.4194955,82.0,56.0
-34.6049545,-58.3999045,28.0,28.0
-34.5869758081,-58.4052745725,50.0,50.0
-34.6237933,-58.4022563,131.0,69.0
-34.5679882,-58.4768372,90.0,64.0
-34.5780821,-58.4331057,37.0,37.0
-34.628191,-58.437675,108.0,97.0
-34.573343,-58.510591,63.0,56.0
-34.6376011,-58.5105366,34.0,29.0
-34.5973118,-58.5156042,52.0,50.0
-34.6383278557,-58.4732937813,41.0,27.0
-34.5936402,-58.3969151,120.0,117.0
-34.5670774,-58.4313924,260.0,260.0
-34.6212932,-58.5009851,43.0,38.0
-34.5723344,-58.4428023,202.0,187.0
-34.57154052,-58.4878555,46.0,43.0
-34.5900789,-58.4791179,200.0,80.0
-34.6199128,-58.443092,42.0,35.0
-34.5926982,-58.4965174,66.0,54.0
-34.6275659,-58.4119371,100.0,100.0
-34.567085,-58.481789,56.0,52.0
-34.6617006,-58.482163,125.0,70.0
-34.6156493,-58.445063,154.0,135.0
-34.6006146,-58.4045756,47.0,47.0
-34.544349,-58.462657,82.0,82.0
-34.6098208,-58.3926061,37.0,37.0
-34.5618973,-58.4686867,60.0,60.0
-34.5794851,-58.4886563,103.0,88.0
-34.631559,-58.462763,70.0,60.0
-34.5737522,-58.4229262,27.0,27.0
-34.5435115,-58.4618344,42.0,38.0
-34.61201,-58.424052,76.0,74.0
-34.5978265,-58.484234,65.0,65.0
-34.5421928,-58.4737717,106.0,80.0
-34.611825,-58.408461,23.0,23.0
-34.573855,-58.42234154,400.0,321.0
-34.573855,-58.42234154,75.0,75.0
-34.5999738,-58.4253506,90.0,42.0
-34.5998322,-58.3969435,58.0,50.0
-34.558034,-58.4497557,55.0,55.0
-34.6358369,-58.4559772,133.0,106.0
-34.6264637,-58.4104574,66.0,66.0
-34.577479,-58.4250292,69.0,64.0
-34.54348142,-58.46275078,50.0,46.0
-34.6261863,-58.4899823,102.0,83.0
-34.6346074,-58.4299095,181.0,140.0
-34.581682,-58.4226071,61.0,56.0
-34.5987976,-58.4608319,143.0,114.0
-34.554419,-58.467503,84.0,48.0
-34.5502343,-58.453584,81.0,78.0
-34.5506988,-58.4956196,74.0,74.0
-34.5871104,-58.4978712,112.0,97.0
